epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.548,0.6846,1.80304,4.49492,1.1903,0.59486,0.04818,0.07105,0.05823,0.59595,0.04818,0.07103,0.05942,0.76781,1.4539,3.67711,1.42261,4.82351e-05,4.82351e-05,4.82351e-05
2,245.569,0.6867,1.38555,3.82254,1.19726,0.20349,0.25287,0.18494,0.14033,0.20502,0.25534,0.18645,0.14886,0.87617,1.32009,2.82062,1.49866,9.46564e-05,9.46564e-05,9.46564e-05
3,385.031,0.7035,1.31843,3.23016,1.1924,0.33794,0.36971,0.33876,0.2535,0.3402,0.36847,0.33701,0.26539,0.8623,1.32636,2.39364,1.46781,0.000139164,0.000139164,0.000139164
4,531.826,0.66621,1.2531,2.81659,1.1693,0.40343,0.42925,0.40334,0.30164,0.39858,0.42424,0.39426,0.30407,0.84958,1.34533,2.22598,1.45112,0.000136387,0.000136387,0.000136387
5,690.993,0.64681,1.2192,2.50816,1.1443,0.4682,0.4512,0.46898,0.35416,0.46038,0.44763,0.46231,0.36393,0.81607,1.25006,2.02841,1.40916,0.000133516,0.000133516,0.000133516
6,857.927,0.62478,1.17603,2.28418,1.1299,0.53192,0.51218,0.52086,0.39662,0.54256,0.4969,0.50897,0.40734,0.78613,1.25502,1.88058,1.36392,0.000130645,0.000130645,0.000130645
7,1033.7,0.60469,1.13693,2.12969,1.11119,0.56742,0.53127,0.566,0.43191,0.56385,0.52663,0.55972,0.44768,0.79484,1.21196,1.72394,1.38049,0.000127774,0.000127774,0.000127774
8,1214.91,0.58886,1.10192,2.00016,1.10132,0.54081,0.57405,0.58111,0.45392,0.53892,0.57205,0.57961,0.4685,0.76318,1.19814,1.67426,1.35001,0.000124903,0.000124903,0.000124903
9,1396.78,0.57881,1.09605,1.8866,1.0931,0.59333,0.56844,0.60839,0.4724,0.58967,0.56355,0.60541,0.49127,0.75013,1.16424,1.62361,1.32493,0.000122032,0.000122032,0.000122032
10,1572.73,0.5711,1.05759,1.79122,1.08756,0.6285,0.55157,0.61854,0.48625,0.62384,0.54826,0.61406,0.494,0.74052,1.14692,1.60331,1.31746,0.000119161,0.000119161,0.000119161
11,1742.2,0.55544,1.04858,1.71607,1.07602,0.67449,0.59075,0.65515,0.52101,0.67271,0.58745,0.65363,0.52929,0.73316,1.15259,1.50137,1.31489,0.00011629,0.00011629,0.00011629
12,1912.68,0.54501,1.034,1.64489,1.06818,0.6459,0.61487,0.66853,0.53348,0.64585,0.61162,0.66498,0.54094,0.72413,1.18058,1.43205,1.30283,0.000113419,0.000113419,0.000113419
13,2077.53,0.53552,1.00332,1.56901,1.06244,0.67172,0.60656,0.68183,0.5491,0.67011,0.61162,0.67972,0.55674,0.71971,1.18655,1.40983,1.29594,0.000110548,0.000110548,0.000110548
14,2243.46,0.53617,0.99575,1.51814,1.06271,0.67447,0.62023,0.67335,0.52991,0.67124,0.61602,0.66533,0.53483,0.71709,1.18003,1.45594,1.29104,0.000107677,0.000107677,0.000107677
15,2409.32,0.51966,0.96737,1.45346,1.05119,0.69135,0.6203,0.68909,0.54876,0.68154,0.61519,0.68284,0.55257,0.70774,1.15217,1.37882,1.28976,0.000104806,0.000104806,0.000104806
16,2574.45,0.5215,0.9748,1.42141,1.0503,0.72325,0.62779,0.70517,0.57075,0.72002,0.61937,0.6975,0.5704,0.68309,1.18782,1.33745,1.25837,0.000101935,0.000101935,0.000101935
17,2747.41,0.51587,0.9569,1.36885,1.04664,0.6588,0.65172,0.69326,0.55662,0.66005,0.64324,0.69062,0.56375,0.71357,1.1678,1.36125,1.2907,9.9064e-05,9.9064e-05,9.9064e-05
18,2912.73,0.51189,0.95586,1.3381,1.04303,0.7378,0.61574,0.71164,0.57702,0.72872,0.61281,0.70421,0.5814,0.70461,1.15955,1.29883,1.29152,9.6193e-05,9.6193e-05,9.6193e-05
19,3078.96,0.50712,0.94226,1.30404,1.04461,0.71446,0.66435,0.72669,0.58747,0.71152,0.66367,0.72168,0.59372,0.69539,1.17971,1.32446,1.27836,9.3322e-05,9.3322e-05,9.3322e-05
